,depth,file,threshold,maxA,maxDia,maxP,maxmnD,maxmxD,meanA,meanDia,meanP,meanmnD,meanmxD,medianA,medianDia,medianP,medianmnD,medianmxD,minA,minDia,minP,minmnD,minmxD,no,share
0,0.05,../../DATA/sprinkler_exp_1013/inf_DE2_stretch_5.png,200,2038.0,50.93978987167361,514.7939392393399,360.97125595773633,941.96953748131,599.3333333333334,26.154776351408625,158.03385036130496,91.43146459076371,794.3830868190072,379.0,21.967197988242077,129.698484809835,57.92379083117043,765.9592745738464,254.0,17.983404693292407,67.55634918610404,32.53680714563491,719.7615589135763,15,0.015023395721925134
1,0.2,../../DATA/sprinkler_exp_1013/inf_DE2_stretch_20.png,200,1218.0,39.38027127239512,287.53910524340097,470.9035544948272,752.9886857850327,447.2857142857143,22.345481029878023,121.2944237920141,185.75700872373582,608.4868087761939,249.0,17.805522925178455,92.14213562373095,179.0568464220574,633.1944449476819,201.0,15.99753570059363,57.55634918610404,18.922731940010642,470.9035544948272,7,0.005232286096256684
2,0.37,../../DATA/sprinkler_exp_1013/inf_DE2_stretch_37.png,200,1209.0,39.23450789273152,181.49747468305833,129.34860180085593,380.3883972877213,594.25,26.225143425599846,120.81980515339465,111.62041854402511,343.2059313261906,481.5,24.755067401832754,106.57716446627535,111.62041854402511,367.3658896531649,205.0,16.15593100600236,88.62741699796952,93.89223528719431,257.7035487107112,4,0.00397225935828877
3,0.46,../../DATA/sprinkler_exp_1013/inf_DE2_stretch_46.png,200,7991.0,100.86851442337537,1062.9848480983499,248.2963304292906,702.8568938007413,1356.0,34.3947106842255,238.94456923710217,104.88507518970899,607.9026724672051,413.0,22.93137440223813,95.45584412271572,102.08749917483067,631.749353375485,227.0,17.000746355818674,69.55634918610404,20.256741816221847,431.67077816142154,13,0.02945855614973262
4,0.61,../../DATA/sprinkler_exp_1013/inf_DE2_stretch_61.png,200,3650.0,68.17128675830715,570.3919189857867,479.49142246245253,657.4306282754586,740.1111111111111,26.63058403035805,146.4552829411731,113.32449594990679,580.6358404127214,293.0,19.314740138231286,86.62741699796953,54.723690600884304,576.7786334688634,257.0,18.089294154193436,63.89949493661167,30.17322557751924,479.49142246245253,9,0.011131350267379679
5,0.7,../../DATA/sprinkler_exp_1013/inf_DE2_stretch_70.png,200,19702.0,158.3836024036964,2383.035713374682,312.91163263259415,629.6075884634315,4231.625,59.310033316762194,565.9895064745358,139.0598461225087,510.8808259746185,2187.5,52.040074776043376,379.40916292848976,108.12315827131133,498.2175304911206,215.0,16.545286401814263,101.17766952966369,80.69176046525969,413.86166483327713,8,0.056572526737967914
0,0.39,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice390x.png,20,1050.0,36.56366395715726,147.07106781186548,131.22082378513383,396.43557118623295,700.8,29.602625819698677,116.17401153701776,72.7827951890699,353.6255023761099,665.0,29.098183744847088,109.65685424949238,75.63045360524946,355.9949431887974,508.0,25.43237481489809,105.65685424949238,40.71612247485842,281.74784515839355,5,0.02034547829873712
1,0.455,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice455x.png,20,2539.0,56.857323222981385,296.14213562373095,139.06959849822405,308.0304888273138,1051.1666666666667,34.10686180946067,147.26632995774114,94.25175467094844,252.70648799888056,1004.5,35.720436955693614,142.36396103067892,89.0932554397906,254.61131976211783,224.0,16.88803298257901,66.82842712474618,62.48050772289007,169.8636081755259,6,0.036797824920068146
2,0.52,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice520x.png,20,1190.0,38.92499271977894,144.2426406871193,163.11693142733063,266.93491716146843,504.8333333333333,23.696039014878423,89.21895141649748,72.46425484908637,231.3800128346567,384.0,21.704477073593782,80.41421356237309,62.99777672974128,243.39963859045213,168.0,14.625465582862905,54.0,34.73714546853209,176.64499995002438,6,0.017503004807692308
3,0.585,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice585x.png,20,2520.0,56.64418463295778,260.38477631085027,196.8701387419056,241.46092300490517,1521.3333333333333,42.686805822999624,193.70423279073603,150.25154673643925,226.597328250572,1309.0,40.82487677946288,198.48528137423858,126.94225073370608,241.46092300490517,735.0,30.591356056578213,122.24264068711929,126.94225073370608,196.8701387419056,3,0.02637296597633136
