1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
0.0047767	0.007447325	0.013794075	0.0231996	0.0036896	0.022557625	0.008584825	0.0015835	0.0292985	0.02136	0.0234808	0.0222757	0.014467325	0.014467325	0.025867	0.018360675	0.00895235	0.0135035	0.03136175	0.0281145
0.000835978	0.001591988	0.0029818	0.0025502	0.0047272	0.001850028	0.001084495	0.00052844	0.0050219	0.0119112	0.000869868	0.00265245	0.001459828	0.001459828	0.000429865	0.004047675	0.0051	0.007717275	0.019312025	0.009117075
0	0.002301275	0.003141425	0.0045472	0.001087975	0.001060003	0.000864623	0.008094875	0.00383015	0.002000015	0	0.001556845	0.00339295	0.00339295	0.0026	0.006497375	0.004602275	0.0027274	0.002464638	0.00301785
0	0.0025086	0.003614175	0.002256365	0.00136652	0.000559533	0	0	0.001541645	0.00162823	0	0.00034143	0.001778438	0.001778438	0	0.002380908	0.00401475	0.000888575	0.001801255	0.00083294
0	0.00034143	0.001676093	0.001455725	0.00191566	0	0	0	0.001001595	0.001148945	0	0	0.001324253	0.001324253	0	0.0025604	0.001729478	0.003092675	0.001234183	0.0005626
0.001237143	0.001891448	0.000924345	0.000447	0	0	0	0	0.00079292	0.00052656	0.00028862	0.00221333	0	0	0	0.001150425	0.000758103	0.004527125	0	0
0.001223508	0.000961775	0.001375505	0.000578355	0	0	0	0.000541908	0.0007245	0.001718583	0.00031236	0.000792	0	0	0	0.000662938	0.000662938	0.001640003	0	0
0	0.00029532	0.000896503	0.00037545	0	0	0	0.000476663	0.00100975	0.002355455	0	0.001467935	0	0	0	0.000797785	0.000492568	0.001347668	0	0
0	0.000328015	0.000424508	0.00025054	0	0	0	0.000309253	0.00100975	0.00203125	0	0.000335458	0	0	0	0.000797785	0.000492568	0.001347668	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
