,depth,file,threshold,maxA,maxDia,maxP,maxmnD,maxmxD,meanA,meanDia,meanP,meanmnD,meanmxD,medianA,medianDia,medianP,medianmnD,medianmxD,minA,minDia,minP,minmnD,minmxD,no,share
0,0.39,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice390x.png,200,2983.0,61.628512572874826,313.3553390593274,229.42144897996357,668.5647876748849,1225.7777777777778,35.65505437894412,178.2499759291173,93.718505955836,511.1986027154638,1497.0,43.65821341361255,206.38477631085024,67.26792939688534,480.4522737785883,211.0,16.39065416446578,72.82842712474618,50.51739836628066,357.0455822311526,9,0.022322539654275823
1,0.455,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice455x.png,200,7379.0,96.92901836189597,619.2964645562816,235.13082751284475,516.8319235039579,2681.8571428571427,52.91087004832521,312.99435164010146,162.44297516010258,425.6104670639867,2700.0,58.632301428350395,337.698484809835,158.88782961755274,418.087798449894,221.0,16.774562271083887,94.48528137423857,108.08840403489286,283.40033642283066,7,0.038203015459878996
2,0.52,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice520x.png,200,3244.0,64.26810315483777,313.3553390593274,247.7248890782344,451.32277190083755,934.4,30.705762988605052,148.879393923934,48.601303619668684,383.79026293725417,458.0,24.022268529813207,105.82842712474618,23.63913842270828,402.46221875761654,240.0,17.480774889473267,80.82842712474618,15.548224309705482,295.80297264765153,10,0.018853305785123967
3,0.585,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice585x.png,200,7355.0,96.77126046263488,619.7817459305202,177.10495867132613,404.5317937886013,1794.25,39.87621814129204,225.42031021678298,76.84777413400508,362.85775488425213,627.5,28.01761485915145,141.19238815542514,61.71927749731624,385.0259883698733,212.0,16.42944866646031,89.65685424949238,50.65556765529637,272.20091435601535,8,0.02896193827479339
4,0.65,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice650x.png,200,3704.0,68.6737160324024,526.811183182043,212.50188547152487,318.1786134325448,2610.0,55.62800964410204,399.1739537668993,167.24494072359724,282.9530374455382,3195.0,63.7808775843422,482.32590180780454,144.6164683496334,318.1786134325448,931.0,34.42943531556155,188.38477631085024,144.6164683496334,212.50188547152487,3,0.015798521435950414
5,0.715,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice715x.png,200,4974.0,79.58073570602812,559.7401153701776,247.18661481148396,689.9070825931917,1849.2,44.02026364308801,237.91222219387902,99.97650968631145,559.5560095391413,1418.0,42.490630431125176,212.97056274847716,107.82438485140264,553.2071503531113,211.0,16.39065416446578,64.0,21.127302073454793,440.9732491257506,15,0.05612605193349372
6,0.78,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice780x.png,200,4331.0,74.25900934060452,536.2253967444162,258.7050753351325,591.9287681923419,1240.875,33.529897034858486,195.5134559672906,71.91656948150967,510.6447471791718,400.0,22.564126356989284,104.94974746830583,29.512996247891643,567.2295377011832,281.0,18.91508160359296,64.0,16.317081461265683,316.7491012848868,8,0.020201424091526064
7,0.845,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice845x.png,200,10068.0,113.22091563131619,830.0660171779822,227.36367440757087,613.4216149539795,3616.3,62.52719749975389,341.399704140717,137.58566949238752,538.9894189692596,3312.5,64.92354729324987,348.04163056034264,167.78848214602195,530.405125946799,295.0,19.38054864282415,107.89949493661166,42.33965036269808,404.9229555128465,10,0.07317349542400077
8,0.91,../../DATA/sprinkler_exp_1013/BB_infiltration_LUX/horslice910x.png,200,9667.0,110.94325882609911,656.9533188057741,275.9010574206239,482.05270192728295,3567.0,61.49579714061748,310.87838379715737,264.04239846030816,456.26031077728084,2215.0,53.10579621461659,268.62741699796953,261.60507895270507,481.12950860354493,602.0,27.685559519911603,98.48528137423858,254.21590390992566,414.94459033601674,5,0.036294187435516004
